city,state,lat,lng
Wasilla,AK,61.577,-149.466
Whale Pass,AK,56.1053,-133.1244
White Mountain,AK,64.6812,-163.4228
Whitestone,AK,64.1528,-145.9061
Whittier,AK,60.7852,-148.6455
Willow,AK,61.8157,-149.753
Wiseman,AK,67.4371,-150.1334
Womens Bay,AK,57.696,-152.6276
Wrangell,AK,56.3317,-132.0223
Yakutat,AK,59.567,-139.5966
Abanda,AL,33.0926,-85.5253
Abbeville,AL,31.5664,-85.2528
Adamsville,AL,33.6063,-86.9745
Addison,AL,34.2017,-87.1765
Akron,AL,32.8785,-87.7429
Alabaster,AL,33.2198,-86.8225
Albertville,AL,34.2634,-86.2107
Alexander City,AL,32.9242,-85.9361
Alexandria,AL,33.7675,-85.8792
Aliceville,AL,33.1237,-88.1594
Allgood,AL,33.9064,-86.5178
Altoona,AL,34.031,-86.3181
Andalusia,AL,31.3101,-86.4781
Anderson,AL,34.9147,-87.2716
Anniston,AL,33.6712,-85.8136
Arab,AL,34.3309,-86.4991
Ardmore,AL,34.9847,-86.8373
Argo,AL,33.6961,-86.5066
Ariton,AL,31.5978,-85.7131
Arley,AL,34.0886,-87.2074
Ashford,AL,31.1858,-85.2359
Ashland,AL,33.2704,-85.8337
Ashville,AL,33.8331,-86.2698
Athens,AL,34.7847,-86.951
Atmore,AL,31.0927,-87.4763
Attalla,AL,34.0049,-86.104
Auburn,AL,32.6087,-85.4899
Autaugaville,AL,32.432,-86.6579
Avon,AL,31.1799,-85.2802
Axis,AL,30.9296,-88.0179
Babbie,AL,31.3022,-86.3229
Baileyton,AL,34.2609,-86.6082
Bakerhill,AL,31.7769,-85.2955
Ballplay,AL,34.0179,-85.7853
Banks,AL,31.8132,-85.8364
Bay Minette,AL,30.893,-87.7912
Bayou La Batre,AL,30.4126,-88.261
Bear Creek,AL,34.2651,-87.7164
Beatrice,AL,31.7332,-87.209
Beaverton,AL,33.9354,-88.0218
Belgreen,AL,34.4767,-87.8653
Belk,AL,33.6516,-87.9286
